Timestamp,Model,Dataset,Mean Dice,Mean IoU
2025-12-23 14:13:24,PolyMAN,CVC-ColonDB,0.7829,0.7058
2025-12-23 14:13:45,PolyMAN,ETIS-Larib,0.7394,0.6501
2025-12-23 15:10:06,PolyMAN,CVC-ColonDB,0.7556,0.6734
2025-12-23 15:10:22,PolyMAN,ETIS-Larib,0.7468,0.6455
2025-12-23 15:15:25,PolyMAN,CVC-ColonDB,0.7747,0.6987,With TTA
2025-12-23 15:15:44,PolyMAN,ETIS-Larib,0.7788,0.6830,With TTA
2025-12-24 03:30:07,PolyMAN,CVC-ColonDB,0.7759,0.7024,With TTA
2025-12-24 03:30:32,PolyMAN,ETIS-Larib,0.7711,0.6847,With TTA
2025-12-25 02:51:37,PolyMAN,CVC-ColonDB,0.7852,0.7109,With TTA
2025-12-25 02:52:03,PolyMAN,ETIS-Larib,0.7762,0.6896,With TTA
2025-12-25 05:58:19,PolyMAN,CVC-ColonDB,0.7776,0.7004,With TTA
2025-12-25 05:58:48,PolyMAN,ETIS-Larib,0.7767,0.6873,With TTA
2026-01-26 05:52:24,PolyMAN,CVC-ColonDB,0.7855,0.7125,With TTA
2026-01-26 05:52:58,PolyMAN,ETIS-Larib,0.7859,0.6985,With TTA
2026-01-27 18:13:22,PolyMAN,CVC-ColonDB,0.7809,0.7039,With TTA
2026-01-27 18:13:55,PolyMAN,ETIS-Larib,0.7606,0.6702,With TTA
2026-01-27 18:16:19,PolyMAN,CVC-ColonDB,0.7809,0.7039,With TTA
2026-01-27 18:16:47,PolyMAN,ETIS-Larib,0.7606,0.6702,With TTA
2026-01-27 18:26:06,PolyMAN,CVC-ColonDB,0.7809,0.7039,With TTA
2026-01-27 18:26:34,PolyMAN,ETIS-Larib,0.7606,0.6702,With TTA
2026-02-04 03:43:28,PolyMAN,CVC-ColonDB,0.7974,0.7205,With TTA
2026-02-04 03:44:02,PolyMAN,ETIS-Larib,0.7701,0.6801,With TTA
2026-02-25 15:02:47,PolyMAN,CVC-300,0.8791,0.8077,Standard (No TTA)
2026-02-25 15:02:50,PolyMAN,CVC-ClinicDB,0.9125,0.8648,Standard (No TTA)
2026-02-25 15:03:18,PolyMAN,CVC-ColonDB,0.7995,0.7172,Standard (No TTA)
2026-02-25 15:03:42,PolyMAN,ETIS-LaribPolypDB,0.7315,0.6470,Standard (No TTA)
2026-02-25 15:03:50,PolyMAN,Kvasir,0.9048,0.8487,Standard (No TTA)
2026-02-26 04:24:46,PolyMAN,CVC-300,0.8566,0.7841,Standard (No TTA)
2026-02-26 04:24:49,PolyMAN,CVC-ClinicDB,0.9182,0.8719,Standard (No TTA)
2026-02-26 04:25:16,PolyMAN,CVC-ColonDB,0.7879,0.7100,Standard (No TTA)
2026-02-26 04:25:40,PolyMAN,ETIS-LaribPolypDB,0.7236,0.6435,Standard (No TTA)
2026-02-26 04:25:47,PolyMAN,Kvasir,0.9178,0.8662,Standard (No TTA)
2026-02-26 04:26:30,PolyMAN,CVC-300,0.8566,0.7841,Standard (No TTA)
2026-02-26 04:26:33,PolyMAN,CVC-ClinicDB,0.9182,0.8719,Standard (No TTA)
2026-02-26 04:26:54,PolyMAN,CVC-ColonDB,0.7879,0.7100,Standard (No TTA)
2026-02-26 04:27:14,PolyMAN,ETIS-LaribPolypDB,0.7236,0.6435,Standard (No TTA)
2026-02-26 04:27:20,PolyMAN,Kvasir,0.9178,0.8662,Standard (No TTA)
2026-03-04 04:55:03,PolyMAN,CVC-300,0.8728,0.8036,Standard (No TTA)
2026-03-04 04:55:05,PolyMAN,CVC-ClinicDB,0.9193,0.8672,Standard (No TTA)
2026-03-04 04:55:31,PolyMAN,CVC-ColonDB,0.7777,0.7014,Standard (No TTA)
2026-03-04 04:55:53,PolyMAN,ETIS-LaribPolypDB,0.7038,0.6211,Standard (No TTA)
2026-03-04 04:56:00,PolyMAN,Kvasir,0.9109,0.8595,Standard (No TTA)
2026-03-04 04:57:55,PolyMAN,CVC-ClinicDB,0.9193,0.8672
2026-03-04 04:58:15,PolyMAN,CVC-ColonDB,0.7777,0.7014
2026-03-04 04:58:34,PolyMAN,ETIS-LaribPolypDB,0.7038,0.6211
2026-03-04 04:58:39,PolyMAN,Kvasir,0.9109,0.8595
2026-03-04 04:59:22,PolyMAN,CVC-ClinicDB,0.9193,0.8672
2026-03-04 04:59:42,PolyMAN,CVC-ColonDB,0.7777,0.7014
2026-03-04 05:00:01,PolyMAN,ETIS-LaribPolypDB,0.7038,0.6211
2026-03-04 05:00:06,PolyMAN,Kvasir,0.9109,0.8595
2026-03-04 06:33:56,PolyMAN,CVC-ClinicDB,0.9205,0.8711
2026-03-04 06:34:21,PolyMAN,CVC-ColonDB,0.7951,0.7162
2026-03-04 06:34:43,PolyMAN,ETIS-LaribPolypDB,0.7641,0.6819
2026-03-04 06:34:49,PolyMAN,Kvasir,0.9058,0.8543
2026-03-04 08:20:53,PolyMAN,CVC-ClinicDB,0.9157,0.8666
2026-03-04 08:21:14,PolyMAN,CVC-ColonDB,0.7817,0.7022
2026-03-04 08:21:34,PolyMAN,ETIS-LaribPolypDB,0.7325,0.6445
2026-03-04 08:21:40,PolyMAN,Kvasir,0.9125,0.8628
2026-03-06 04:58:19,PolyMAN,CVC-ClinicDB,0.9139,0.8647
2026-03-06 04:58:46,PolyMAN,CVC-ColonDB,0.7973,0.7148
2026-03-06 04:59:11,PolyMAN,ETIS-LaribPolypDB,0.7293,0.6449
2026-03-06 04:59:18,PolyMAN,Kvasir,0.9085,0.8529
2026-03-06 05:01:09,PolyMAN,CVC-ClinicDB,0.9139,0.8647
2026-03-06 05:01:31,PolyMAN,CVC-ColonDB,0.7973,0.7148
2026-03-06 05:01:53,PolyMAN,ETIS-LaribPolypDB,0.7293,0.6449
2026-03-06 05:01:59,PolyMAN,Kvasir,0.9085,0.8529
2026-03-06 06:34:12,PolyMAN,CVC-ClinicDB,0.9262,0.8767
2026-03-06 06:34:34,PolyMAN,CVC-ColonDB,0.7761,0.6972
2026-03-06 06:34:55,PolyMAN,ETIS-LaribPolypDB,0.7851,0.6999
2026-03-06 06:35:01,PolyMAN,Kvasir,0.9173,0.8644
